session_id,cnt
4070,2
4128,2
4130,2
4144,2
4153,2
4159,2
4161,2
4169,2
4171,2
4183,2
4193,2
4262,2
4266,2
4269,2
4292,2
4300,2
4305,2
5,3
118,3
175,3
234,3
246,3
357,3
374,3
375,3
412,3
424,3
444,3
450,3
452,3
453,3
464,3
472,3
555,3
657,3
671,3
1164,3
1171,3
1185,3
1191,3
1195,3
1334,3
1558,3
1567,3
1610,3
1720,3
1889,3
1927,3
1933,3
1934,3
1936,3
1938,3
1947,3
1953,3
1976,3
1984,3
1986,3
1989,3
2027,3
2040,3
2106,3
2144,3
2159,3
2227,3
2229,3
2234,3
2239,3
2240,3
2242,3
2250,3
2258,3
2286,3
2291,3
2317,3
2425,3
2434,3
2436,3
2441,3
2464,3
2473,3
2481,3
2873,3
2877,3
2897,3
2902,3
2907,3
2911,3
2929,3
2946,3
2958,3
2979,3
2986,3
2997,3
3021,3
3046,3
3048,3
3063,3
3132,3
3146,3
3165,3
3171,3
3175,3
3177,3
3179,3
3194,3
3195,3
3211,3
3217,3
3219,3
3222,3
3290,3
3294,3
3305,3
3332,3
3334,3
3344,3
3424,3
3439,3
3442,3
3454,3
3460,3
3483,3
3484,3
3508,3
3509,3
3531,3
3561,3
3565,3
3568,3
3593,3
3594,3
3644,3
3646,3
3714,3
3716,3
3720,3
3743,3
3745,3
3765,3
3773,3
3777,3
3789,3
3795,3
3818,3
3819,3
3841,3
3842,3
3890,3
3917,3
3924,3
3925,3
3933,3
3934,3
3993,3
4060,3
4098,3
4112,3
4141,3
4150,3
4157,3
4172,3
4267,3
4284,3
4319,3
4321,3
6,4
174,4
235,4
446,4
459,4
898,4
908,4
916,4
930,4
1193,4
1207,4
1219,4
1222,4
1228,4
1560,4
1574,4
1584,4
1585,4
1588,4
1647,4
1648,4
1910,4
1975,4
1978,4
2021,4
2071,4
2140,4
2145,4
2151,4
2230,4
2249,4
2255,4
2285,4
2296,4
2297,4
2307,4
2347,4
2385,4
2386,4
2412,4
2423,4
2432,4
2437,4
2488,4
2954,4
2977,4
2978,4
3057,4
3077,4
3078,4
3162,4
3164,4
3172,4
3176,4
3183,4
3197,4
3210,4
3328,4
3329,4
3346,4
3423,4
3476,4
3477,4
3492,4
3494,4
3511,4
3515,4
3516,4
3523,4
3560,4
3564,4
3578,4
3633,4
3642,4
3647,4
3701,4
3775,4
3811,4
3812,4
3828,4
3844,4
3850,4
3873,4
3891,4
3923,4
3941,4
3981,4
3990,4
3991,4
3992,4
4016,4
4021,4
4035,4
4043,4
4050,4
4065,4
4145,4
4160,4
4163,4
4175,4
4176,4
4245,4
4263,4
4271,4
4317,4
4332,4
4,5
113,5
236,5
420,5
427,5
432,5
442,5
554,5
560,5
1169,5
1225,5
1467,5
1479,5
1876,5
1885,5
1888,5
1905,5
1907,5
1920,5
1958,5
2194,5
2252,5
2293,5
2309,5
2431,5
2552,5
2865,5
2869,5
2893,5
2909,5
2916,5
2918,5
2940,5
2975,5
2985,5
2992,5
3061,5
3080,5
3155,5
3166,5
3221,5
3289,5
3293,5
3297,5
3318,5
3446,5
3557,5
3615,5
3682,5
3721,5
3740,5
3781,5
3880,5
3889,5
3900,5
3911,5
3940,5
3997,5
3999,5
4001,5
4004,5
4006,5
4008,5
4044,5
4139,5
4164,5
4165,5
4166,5
4173,5
4194,5
4196,5
4244,5
